TotalTimeStopped_p20,TotalTimeStopped_p40,TotalTimeStopped_p50,TotalTimeStopped_p60,TotalTimeStopped_p80,TimeFromFirstStop_p20,TimeFromFirstStop_p40,TimeFromFirstStop_p50,TimeFromFirstStop_p60,TimeFromFirstStop_p80,DistanceToFirstStop_p20,DistanceToFirstStop_p40,DistanceToFirstStop_p50,DistanceToFirstStop_p60,DistanceToFirstStop_p80
0,0,0,0,6,0,0,0,0,15,0.0,0.0,0.0,0.0,58.8
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,9,0,0,0,0,21,0.0,0.0,0.0,0.0,62.4
9,14,16,20,26,15,24,24,29,40,33.9,43.7,50.0,56.0,58.5
0,0,0,0,12,0,0,0,0,30,0.0,0.0,0.0,0.0,67.7
0,0,0,0,30,0,0,0,0,39,0.0,0.0,0.0,0.0,95.3
6,9,38,40,40,22,46,49,50,67,61.4,64.9,73.4,90.7,97.5
0,0,0,0,29,0,0,0,0,70,0.0,0.0,0.0,0.0,489.1
0,0,0,9,14,0,0,0,19,25,0.0,0.0,0.0,77.1,96.2
9,17,18,18,27,20,27,27,31,35,49.8,64.6,70.4,70.5,78.5
0,0,0,0,37,0,0,0,0,72,0.0,0.0,0.0,0.0,302.4
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,15,0,0,0,0,25,0.0,0.0,0.0,0.0,45.8
0,0,0,0,6,0,0,0,0,19,0.0,0.0,0.0,0.0,77.5
0,0,0,7,19,0,0,0,12,26,0.0,0.0,0.0,49.5,52.8
0,12,28,34,54,0,28,42,44,64,0.0,44.6,65.1,67.5,84.5
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
15,19,22,26,32,23,27,29,31,37,36.0,46.2,51.5,56.2,75.3
11,15,19,22,25,15,22,24,25,28,29.0,32.1,35.6,39.2,45.9
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,10,12,33,0,0,17,20,41,0.0,0.0,62.0,66.8,78.9
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,11,19,33,0,0,26,32,52,0.0,0.0,71.7,84.3,93.4
26,45,53,57,61,45,59,62,73,109,74.8,85.6,98.3,113.8,163.6
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,10,0,0,0,0,19,0.0,0.0,0.0,0.0,97.7
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,8,14,16,23,0,19,23,29,32,0.0,80.2,83.7,86.0,95.5
0,21,23,33,51,0,29,41,52,85,0.0,94.7,104.0,121.1,169.9
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,6,42,0,0,0,12,49,0.0,0.0,0.0,37.8,45.3
0,39,68,93,117,0,54,81,104,124,0.0,104.6,120.2,135.1,154.3
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,27,29,36,44,0,37,41,46,56,0.0,43.1,50.5,54.0,62.3
0,0,0,0,14,0,0,0,0,22,0.0,0.0,0.0,0.0,64.7
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,6,0,0,0,0,19,0.0,0.0,0.0,0.0,28.4
0,0,0,0,25,0,0,0,0,31,0.0,0.0,0.0,0.0,63.3
0,9,10,15,41,0,34,36,36,51,0.0,67.3,74.7,105.8,114.6
0,24,24,32,32,0,34,34,40,64,0.0,54.7,54.7,58.1,61.6
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
14,19,20,21,29,20,22,26,27,33,31.5,48.1,48.8,55.2,66.7
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0,0,0,0,34,0.0,0.0,0.0,0.0,81.6
0,0,0,0,13,0,0,0,0,29,0.0,0.0,0.0,0.0,113.7
0,0,0,0,25,0,0,0,0,39,0.0,0.0,0.0,0.0,72.7
0,0,0,0,23,0,0,0,0,74,0.0,0.0,0.0,0.0,440.2
0,0,6,6,6,0,0,15,17,18,0.0,0.0,67.9,74.3,91.3
0,8,8,15,25,0,16,16,22,33,0.0,72.8,72.8,82.0,83.4
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
17,19,22,22,24,23,25,27,27,29,35.6,40.3,41.7,44.9,55.7
0,27,31,35,36,0,37,38,42,46,0.0,18.5,42.7,60.3,63.1
0,10,24,30,61,0,23,37,40,71,0.0,57.2,60.7,68.1,79.2
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,26,27,32,51,18,37,40,42,86,67.2,78.1,90.3,94.5,136.4
0,0,0,0,20,0,0,0,0,28,0.0,0.0,0.0,0.0,50.1
46,47,47,59,65,58,60,60,72,80,50.7,52.9,52.9,60.0,60.9
0,0,0,0,25,0,0,0,0,36,0.0,0.0,0.0,0.0,31.4
20,20,20,23,32,27,28,28,30,40,52.3,54.8,54.8,55.5,58.2
0,0,0,16,46,0,0,0,26,56,0.0,0.0,0.0,51.0,62.7
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,10,12,0,0,0,20,21,0.0,0.0,0.0,49.4,65.8
0,0,0,0,6,0,0,0,0,14,0.0,0.0,0.0,0.0,57.6
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,66,68,69,91,0,73,75,77,98,0.0,46.2,47.4,53.7,58.6
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,11,0,0,0,0,21,0.0,0.0,0.0,0.0,57.8
0,0,0,0,18,0,0,0,0,28,0.0,0.0,0.0,0.0,62.6
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0,0,0,0,39,0.0,0.0,0.0,0.0,77.6
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,13,22,0,0,0,27,32,0.0,0.0,0.0,84.8,91.1
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,28,30,36,44,38,43,44,54,67,51.2,57.4,66.4,74.6,111.9
0,0,0,0,10,0,0,0,0,17,0.0,0.0,0.0,0.0,62.7
0,0,0,0,28,0,0,0,0,34,0.0,0.0,0.0,0.0,59.2
0,16,16,37,50,0,34,34,48,59,0.0,90.6,90.6,96.0,136.3
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,6,0,0,0,0,13,0.0,0.0,0.0,0.0,68.8
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,22,0,0,0,0,31,0.0,0.0,0.0,0.0,56.3
0,0,0,0,11,0,0,0,0,20,0.0,0.0,0.0,0.0,48.6
0,0,0,8,25,0,0,0,13,43,0.0,0.0,0.0,30.2,73.8
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,18,34,44,51,0,32,49,55,64,0.0,73.7,75.3,77.6,84.5
23,72,78,118,132,37,105,129,141,173,56.1,99.4,120.4,128.3,151.1
0,26,26,37,47,0,55,55,58,107,0.0,58.6,58.6,73.9,302.9
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,9,9,10,15,0,18,21,22,32,0.0,33.5,41.6,49.7,53.3
10,30,30,37,71,36,68,106,185,244,57.4,225.7,626.0,1435.2,1993.3
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
13,30,34,34,43,29,44,47,52,58,74.8,95.4,113.1,125.6,142.9
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,16,0,0,0,0,30,0.0,0.0,0.0,0.0,62.8
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,17,20,24,35,0,34,37,43,65,0.0,85.0,92.5,104.8,138.4
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,6,8,17,0,0,16,21,28,0.0,0.0,53.2,63.5,78.7
0,0,0,6,16,0,0,0,14,94,0.0,0.0,0.0,67.6,1133.0
0,0,0,0,13,0,0,0,0,22,0.0,0.0,0.0,0.0,50.1
0,7,12,17,28,0,21,25,28,45,0.0,72.6,78.3,89.7,120.0
0,0,0,0,6,0,0,0,0,14,0.0,0.0,0.0,0.0,23.2
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,18,0,0,0,0,29,0.0,0.0,0.0,0.0,58.4
47,54,55,56,60,57,62,63,64,66,38.1,52.3,56.4,60.9,75.7
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,7,0,0,0,0,11,0.0,0.0,0.0,0.0,21.1
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,10,10,17,21,0,17,17,23,30,0.0,40.8,40.8,41.0,44.7
11,28,28,50,54,25,36,36,59,63,56.5,59.9,59.9,60.7,65.7
0,0,0,42,44,0,0,0,44,46,0.0,0.0,0.0,14.4,22.1
0,0,0,15,33,0,0,0,22,43,0.0,0.0,0.0,50.2,57.5
0,0,9,18,41,0,0,21,30,53,0.0,0.0,54.9,70.5,86.9
0,8,17,20,31,0,23,27,30,47,0.0,55.6,74.0,103.8,143.1
0,13,14,26,38,0,20,22,34,59,0.0,53.5,56.3,61.7,72.5
0,0,0,6,9,0,0,0,22,31,0.0,0.0,0.0,66.5,78.2
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,22,0,0,0,0,31,0.0,0.0,0.0,0.0,81.7
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,17,28,30,34,0,27,39,44,46,0.0,67.1,67.5,72.1,77.8
0,0,0,14,15,0,0,0,23,29,0.0,0.0,0.0,58.3,64.2
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
